JOB_ID,Skills
Job ID: 1918159 ,currently pursuing a double bachelor of accounting and master in taxaccounting degree with expected conferral   between december 2022 and june 2023 ability to deal with ambiguity  excellent analytical  s  researched accounting conclusions and documented support for conclusions reached     amazon is an equal opportunity employer and does not discriminate on the basis of race national origin gender gender identity sexual orientation  ed veteran status disability age or other legally  ed status for individuals with disabilities who would like to request an accommodation please visit   amazonjobsendisabilityus
Job ID: 1915860 , currently enrolled in a bachelor or master degree in computer science computer engineering or related field at time of application  familiarity with the syntax of languages such as java cc or python  knowledge of computer science fundamentals such as objectoriented design algorithm design data structures problem solving and complexity analysis previous technical internships  experience with distributed multitiered systems algorithms and relational databases  experience in optimization mathematics such as linear programming and nonlinear optimization  effectively articulate technical challenges and solutions  adept at handling ambiguous or undefined problems as well as ability to think abstractly
Job ID: 1913989 , strong verbal and written communications  s in language english and german  ms powerpoint and excel experience  technology savviness  first internships ideally at consultancies or tech companies  studies in business administration engineering or computer science or related studies  enrolled as a student at a university or university of applied science in germany for the complete duration of the employment as an intern you love working with people and you love working with technology  you are a selfstarter with handson mentality as well as independent and accurate work    you have demonstrated your entrepreneurial spirit in extracurricular activities for example by contributing to open source projects or organizing student body activities     application and assessment process selected candi s will be invited to attend a virtual interview consisting of a combination of interviews and case studies this selection process is subject to change but you will be notified if any changes are made        
Job ID: 1912075 , graduating from bachelor or master degree in december of 2022 or 2023    be able to complete a 6 month fulltime internship from junejuly of 2022  computer  s including microsoft office eg excel word etc  fluent written and verbal communication in any of the following languages english and french italian dutch german swedish or spanish passion for technology  selling experience preferably in business to business technology sales  strong interest in a technology sales career  comfortable collaborating with extended teams   ed in prospecting techniques  well organized selfmotivated and driven by success application and assessment process selected candi s will be invited to attend an online assessment and successful candi s will be invited to attend a videophone interview the final stage of the selection process will be a full day assessment center based at one of amazon offices this selection process is subject to change but you will be notified if any changes are made       
Job ID: 1909791 , currently pursuing a bachelor degree with a conferral   between december 2021 and august 2022  work internship or other leadership experience in a professional environment  open for placement with one of amazons hr teams across north america ability to show effective use of analytics and data  excellent written and verbal communication  s  ability to embrace the big picture and exercise judgment  demonstrated ability to bring big ideas and influence across all levels of an organization  strong bias for action  ability to adapt well to fastpaced environments with high growth and ambiguity  majorsconcentrations in hr management organizational development business administration or related fields    with microsoft office eg excel word  pursuant to the san francisco fair chance ordinance we will   for employment qualified applicants with arrest and conviction records pursuant to the los angeles fair chance ordinance we will   for employment qualified applicants with arrest and conviction records  the pay for this position in colorado is 61600  however base pay offered may vary depending on jobrelated knowledge  s and experience a signon bonus and restricted stock units may be provided as part of the compensation package in addition to a full range of medical financial andor other benefits dependent on the position offered this   is provided per the colorado equal pay act base pay   is based on market location applicants should apply via amazons internal or external careers site   amazon is an equal opportunity employer and does not discriminate on the basis of race national origin gender gender identity sexual orientation  ed veteran status disability age or other legally  ed status for individuals with disabilities who would like to request an accommodation please visit   amazonjobsendisabilityus
Job ID: 1903682 , passionate about it infrastructure and hardware  basic knowledge of system hardware and network concepts  devices  having troubleshooting experience is a plus  good written  verbal communication and team player  s  basic knowledge of data centers and cloud computing technologies and services familiar with linux operating system  experience of server operation system level development familiar with server hardware components and basic troubleshooting  experience of networking  up and configuration  knowledge of programming language ie python perl shell scripting is a plus but not a    
Job ID: 1903414 ,ihr profil  sie studieren ein geisteswissenschaftliches fach oder kommunikationswissenschaften  sie haben erste erfahrungen im redaktionsbereich oder in der pr gesammelt  sie kennen die deutsche und gern auch die europische medienlandschaft  sie haben schon auf deutsch und idealerweise auch auf englisch geblogged und getextet  sie sind kommunikationsstark und verfgen ber sehr gute englischkenntnissewnschenswerte qualifikationen  sie haben bereits erfolgreich relevante erfahrungen in praktika bspw in pr agenturen sammeln knnen  freuen sie sich auf  spannende aufgaben in einem expandierenden innovativen und dynamischen umfeld  groe gestaltungsfreirume fr ihre ideen und ihr engagement  die mitarbeit in einem kompetenten hoch motivierten team  einen guten einblick in die verschiedenen bereiche der pr eines internationalen unternehmens  sind sie interessiert wir freuen uns darauf von ihnen zu hren wenn sie sich online bewerben haben sie die mglichkeit ihre bewerbung in einem dokument hochzuladen bitte teilen sie uns ihre verfgbarkeiten und die gewnschte dauer des praktikums mit  mit der bersendung ihres lebenslaufs erklren sie sich mit der speicherung ihrer  n zum zwecke der feststellung ihrer eignung fr dieses und zuknftige stellenangebote in der weltweiten amazon konzernpersonal nbank die derzeit in den usa gefhrt wird einverstanden        
Job ID: 1902070 ,  graduated less than 12 months ago or about to complete a bachelor or master degree in computer science computer engineering or related fields at time of application  although no specific programming language is required  you should be familiar with the syntax of languages such as java cc or python  knowledge of computer science fundamentals such as objectoriented design algorithm design data structures problem solving and complexity analysispreferred    previous technical internships  experience with distributed multitiered systems algorithms and relational databases  experience in optimization mathematics such as linear programming and nonlinear optimization  ability to effectively articulate technical challenges and solutions  adept at handling ambiguous or undefined problems as well as ability to think abstractly       we prioritize candi s who demonstrate relevant  s for this role you may wish to attend one of our up ing events at amazonstudenteventssplashthatcom              
Job ID: 1892966 , programming experience with at least one software programming language  1  s of experience in software development  3  s of noninternship professional softwaredevelopment experience  2  s programming experience with at least one modern language such as java c or c including objectoriented design  1  s of experience contributing to the architecture and design architecture design patterns reliability and scaling of new current systems strong knowledge of computer science fundamentals in objectoriented design data structures algorithm design problem solving and complexity analysis  knowledge of at least one modern programming language such as c c java or perl  experience building complex software systems that have been successfully delivered to customers  knowledge of professional software engineering practices  best practices for the full software development life cycle including coding standards code reviews source control management build processes testing and operations  ability to take a project from scoping requirements through actual launch of the project  experience in communicating with users other technical teams and management to collect requirements describe software product features and technical designs  meetsexceeds amazon leadership principles requirements for this role  meetsexceeds amazon functionaltechnical depth and complexity for this role    amazon is an equal opportunity employer and does not discriminate on the basis of race national origin gender gender identity sexual orientation  ed veteran status disability age or other legally  ed status for individuals with disabilities who would like to request an accommodation please visit   amazonjobsendisabilityus
Job ID: 1888993 , in pursuit of obtaining an electrical  electronics computer engineering    digital technologies diploma or certification and expected to graduate in 2022  passionate about it infrastructure and hardware  basic knowledge of system hardware and network concepts  devices  having troubleshooting experience is a plus  good written  verbal communication and team player  s  basic knowledge of data centers and cloud computing technologies and services familiar with linux operating system  experience of server operation system level development familiar with server hardware components and basic troubleshooting  experience of networking  up and configuration  knowledge of programming language ie python perl shell scripting is a plus but not a    
Job ID: 1888063 , in pursuit of an it certification technical degree or associate degree within a relevant technical field such as   technology computer hardware repair or   with a completion   of spring 2022  summer 2023 or  in pursuit of a bachelor degree within a relevant technical field such as   technology computer hardware repair or   with a graduation   of december 2022  summer 2023 familiarity with computer hardware component and operating systems  experience with one or more of the following hardware platforms eg dell hp is a plus hp dell zt foxconn super micro sgi etc  previous relevant it experience  ability to manage work and priorities through a ticketing system and coordination with manager  an interest in computer sciences and   technology  meetsexceeds amazon leadership principles requirements for this role  meetsexceeds amazon functionaltechnical depth and complexity      
Job ID: 1888057 , in pursuit of a certification or associates degree in mechanicalelectrical engineering or   technicaltrade school program hvac electrician facilities maintenance or   with a graduation   of spring 2022  summer 2023 or  in pursuit of a bachelor degree in mechanicalelectrical engineering or   with a graduation   of december 2022  summer 2023 in pursuit of a certification or associates degree in mechanicalelectrical engineering or   technicaltrade school program hvac electrician facilities maintenance or   with a graduation   of june 2021  summer 2022  meetsexceeds amazon leadership principles requirements for this role  meetsexceeds amazon functionaltechnical depth and complexity      
Job ID: 1885053 , penultimate   student working towards a bachelor degree  expected to graduate after december 2022  candi s   be able to legally work in singapore  able to commit to a fulltime internship from may to august 2022  analytical and quantitative  s with the ability to use excel or other software to provide data to support analyses  excellent english written and verbal communication  simportant note for application  you   attach a one page written response with your resume saved in pdf or microsoft word format and upload this as part of your application for this one page written response do not use bullet points please follow the instructions below  as written communications  s are an important aspect of the culture at amazon please choose and respond to one of the two questions below for your application  1 define innovation using anecdotal examples and professional experiences 2 why is it always day 1  the questions are designed so that they can be interpreted in multiple ways you   respond in narrative form do not use bullet points do not include any confidential   in your responses we will evaluate your writing based on your clarity of thought and expression and the organization and structure of your written response  note we will only   applications with the one page written response and uploaded together with your resume
Job ID: 1883207 , enrolled in a bachelormaster degree in business marketing advertising or related field  legal right to work in saudi arabia  fluent written and verbal communication in english experience in a marketing role and proficient with analytic    ability to think and act strategically and tactically  ability to deal with ambiguity  solid organizational  s including prioritization and time management  problem solving  s  ability to summarize and communicate important data  an understanding of and passion for ecommerce  strong communication  s including experience in coordinating teams and communicating to management  application and assessment process selected candi s will be invited to attend a virtual interview consisting of a combination of interviews and case studies this selection process is subject to change but you will be notified if any changes are made   applicants who apply for this job will allow amazon to process your application in a centralized hiring system that  s you for other   openings as well      eu student programs team
Job ID: 1877464 , enrolled in or recently graduated with a bachelor or masters degree in business administration management economics ecommerce mathematics engineering statistics or related field  legal right to work in saudi arabia  fluent written and verbal communication in english excellent communications and presentation  s  ability to work on own initiative and as part of a team  resultsdriven focus with analytical capability  ability to innovate and simplify current processes and practices  strong direct sales  s and a proven track record of performance  experience working with clients  high affinity towards data and technology with ability to dive deep and analyze opportunities and processes  fluent written and verbal communication in english  application and assessment process selected candi s will be invited to attend a virtual interview consisting of a combination of interviews and case studies this selection process is subject to change but you will be notified if any changes are made        eu student programs team
Job ID: 1877267 , enrolled in or recently graduated with a bachelor or masters degree in business administration management economics ecommerce mathematics engineering statistics or related field  legal right to work in saudi arabia  fluent written and verbal communication in english excellent communications and presentation  s  ability to work on own initiative and as part of a team  resultsdriven focus with analytical capability  ability to innovate and simplify current processes and practices  strong direct sales  s and a proven track record of performance  experience working with clients  high affinity towards data and technology with ability to dive deep and analyze opportunities and processes  application and assessment process selected candi s will be invited to attend a virtual interview consisting of a combination of interviews and case studies this selection process is subject to change but you will be notified if any changes are made   applicants who apply for this job will allow amazon to process your application in a centralized hiring system that  s you for other   openings as well      eu student programs team
Job ID: 1872605 , currently enrolled in a bachelor or master degree  legal right to work in saudi arabia  fluent written and verbal communication in english strong project management  s  ability to think and act strategically and tactically  ability to deal with ambiguity  strong organizational  s including prioritization and time management  strong interpersonal written and oral communication    application and assessment process selected candi s will be invited to attend a virtual interview consisting of a combination of interviews and case studies this selection process is subject to change but you will be notified if any changes are made     applicants who apply for this job will allow amazon to process your application in a centralized hiring system that  s you for other   openings as well      student programs team
Job ID: 1949467 , diploma holders in electrical  electronics computer  communications engineering    digital technologies with good grades  technical   eg ite with relevant working experience   passionate about it infrastructure and hardware  basic knowledge of system hardware and network devices  have a basic understanding of it systems andor network concepts and  having troubleshooting experience is a plus  knowledge of programming language ie python perl shell scripting is a plus but not a    good written  verbal communication and team player  s  basic knowledge of data centers and cloud computing technologies and services familiar with linux operating system   experience of server operation system level development familiar with server hardware components and basic troubleshooting   experience of networking  up and configuration   experience in writing software programs   
