0,1
Job ID: 1918159 | Amazon.com Services LLC,"Currently pursuing a double Bachelor of Accounting and Master in Tax/Accounting degree with expected conferral date between December 2022 and June 2023.. Ability to deal with ambiguity
 Excellent analytical skills
 Researched accounting conclusions and documented support for conclusions reached




Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
Job ID: 1915860 | ADCI HYD 13 SEZ," Currently enrolled in a Bachelor or Master Degree in Computer Science, Computer Engineering, or related field at time of application
 Familiarity with the syntax of languages such as Java, C/C++ or Python.
 Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.. Previous technical internship(s).
 Experience with distributed, multi-tiered systems, algorithms, and relational databases.
 Experience in optimization mathematics such as linear programming and nonlinear optimization.
 Effectively articulate technical challenges and solutions.
 Adept at handling ambiguous or undefined problems as well as ability to think abstractly."
Job ID: 1913989 | AWS EMEA SARL (Germany Branch)," Strong verbal and written communications skills in language English and German
 MS Powerpoint and Excel experience
 Technology Savviness
 First Internships ideally at Consultancies or Tech companies
 Studies in Business Administration, Engineering or Computer Science or related studies
 Enrolled as a student at a university or university of applied science in Germany for the complete duration of the employment as an intern. You love working with people and you love working with technology.
 You are a self-starter with hands-on mentality as well as independent and accurate work competencies.
 You have demonstrated your entrepreneurial spirit in extracurricular activities, for example, by contributing to open source projects or organizing student body activities
  

Application and Assessment Process
Selected candidates will be invited to attend a virtual interview consisting of a combination of interviews and case studies. This selection process is subject to change but you will be notified if any changes are made.



  

"
"Job ID: 1912075 | Amazon Spain Services, S.L."," Graduating from Bachelor or Master degree in December of 2022 or 2023.
 Must be able to complete a 6 month full-time internship from June/July of 2022.
 Computer skills, including Microsoft Office (e.g., Excel, Word, etc.)
 Fluent written and verbal communication in any of the following languages: English and French, Italian, Dutch, German, Swedish or Spanish.. Passion for technology
 Selling experience, preferably in business to business technology sales
 Strong interest in a technology sales career
 Comfortable collaborating with extended teams
 Skilled in prospecting techniques
 Well organized, self-motivated, and driven by success
Application and Assessment Process
Selected candidates will be invited to attend an online assessment and successful candidates will be invited to attend a video/phone interview. The final stage of the selection process will be a full day assessment center based at one of Amazon offices. This selection process is subject to change but you will be notified if any changes are made.




  "
Job ID: 1909791 | Amazon.com Services LLC," Currently pursuing a bachelor degree with a conferral date between December 2021 and August 2022.
 Work, internship, or other leadership experience in a professional environment
 Open for placement with one of Amazon's HR teams across North America.. Ability to show effective use of analytics and data
 Excellent written and verbal communication skills
 Ability to embrace the big picture and exercise judgment
 Demonstrated ability to bring big ideas and influence across all levels of an organization
 Strong bias for action
 Ability to adapt well to fast-paced environments with high growth and ambiguity
 Majors/concentrations in HR Management, Organizational Development, business administration, or related fields
 Proficiency with Microsoft Office (e.g., Excel, Word)

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

The pay for this position in Colorado is $61,600/year, however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon's internal or external careers site.


Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
Job ID: 1903682 | Amazon Asia-Pacific Resources," Passionate about IT infrastructure and hardware
 Basic knowledge of system hardware and network concepts & devices
 Having troubleshooting experience is a plus
 Good written & verbal communication and team player skills
 Basic knowledge of data centers and cloud computing technologies and services. Familiar with Linux operating system
 Experience of server operation system level development, familiar with server hardware components and basic troubleshooting
 Experience of networking setup and configuration
 Knowledge of programming language i.e. Python, Perl, Shell Scripting is a plus but not a must

"
Job ID: 1903414 | Amazon Deutschland Servcs GmbH,"Ihr Profil:
 Sie studieren ein geisteswissenschaftliches Fach oder Kommunikationswissenschaften.
 Sie haben erste Erfahrungen im Redaktionsbereich oder in der PR gesammelt.
 Sie kennen die deutsche (und gern auch die europäische) Medienlandschaft.
 Sie haben schon auf Deutsch und idealerweise auch auf Englisch „geblogged“ und getextet
 Sie sind kommunikationsstark und verfügen über sehr gute Englischkenntnisse..Wünschenswerte Qualifikationen: - Sie haben bereits erfolgreich relevante Erfahrungen in Praktika, bspw. in PR Agenturen sammeln können.

Freuen Sie sich auf:
 Spannende Aufgaben in einem expandierenden, innovativen und dynamischen Umfeld.
 Große Gestaltungsfreiräume für Ihre Ideen und Ihr Engagement.
 Die Mitarbeit in einem kompetenten, hoch motivierten Team.
 Einen guten Einblick in die verschiedenen Bereiche der PR eines internationalen Unternehmens.

Sind Sie interessiert? Wir freuen uns darauf, von Ihnen zu hören! Wenn Sie sich ""online bewerben"", haben Sie die Möglichkeit Ihre Bewerbung in einem Dokument hochzuladen. Bitte teilen Sie uns Ihre Verfügbarkeiten und die gewünschte Dauer des Praktikums mit.

Mit der Übersendung Ihres Lebenslaufs erklären Sie sich mit der Speicherung Ihrer Daten zum Zwecke der Feststellung Ihrer Eignung für dieses und zukünftige Stellenangebot/e in der weltweiten Amazon Konzernpersonaldatenbank, die derzeit in den USA geführt wird, einverstanden.



  

"
Job ID: 1902070 | Amzn Dev Ctr (Netherlands) B.V,"
 Graduated less than 12 months ago or about to complete a Bachelor or Master Degree in Computer Science, Computer Engineering, or related fields at time of application
 Although no specific programming language is required  you should be familiar with the syntax of languages such as Java, C/C++ or Python
 Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving and complexity analysis.PREFERRED QUALIFICATIONS
 Previous technical internship(s)
 Experience with distributed, multi-tiered systems, algorithms, and relational databases
 Experience in optimization mathematics such as linear programming and nonlinear optimization
 Ability to effectively articulate technical challenges and solutions
 Adept at handling ambiguous or undefined problems as well as ability to think abstractly

  


We prioritize candidates who demonstrate relevant skills for this role. You may wish to attend one of our upskilling events at amazonstudentevents.splashthat.com.











  "
"Job ID: 1892966 | Amazon Web Services, Inc."," Programming experience with at least one software programming language.
 1+ years of experience in software development
 3+ years of non-internship professional software-development experience
 2+ years programming experience with at least one modern language such as Java, C++, or C# including object-oriented design
 1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new current systems. Strong knowledge of Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis
 Knowledge of, at least, one modern programming language such as C, C++, Java, or Perl
 Experience building complex software systems that have been successfully delivered to customers
 Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
 Ability to take a project from scoping requirements through actual launch of the project
 Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs
 Meets/exceeds Amazon leadership principles requirements for this role
 Meets/exceeds Amazon functional/technical depth and complexity for this role



Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
Job ID: 1888993 | Amazon Asia-Pacific Resources," In pursuit of obtaining an Electrical & Electronics, Computer Engineering, Information & Digital Technologies diploma or certification and expected to graduate in 2022
 Passionate about IT infrastructure and hardware
 Basic knowledge of system hardware and network concepts & devices
 Having troubleshooting experience is a plus
 Good written & verbal communication and team player skills
 Basic knowledge of data centers and cloud computing technologies and services. Familiar with Linux operating system
 Experience of server operation system level development, familiar with server hardware components and basic troubleshooting
 Experience of networking setup and configuration
 Knowledge of programming language i.e. Python, Perl, Shell Scripting is a plus but not a must

"
